sample id,machine id,diameter[inch],gauge[needles/inch],machine type,fabric type,iplik 1 numarasi[x m/1gr],yarn 1 make,yarn 1 type,iplik 1 uzunlugu[cm],Iplik 1 beslenme orani[%],iplik 2 numarasi[x m/1gr],yarn 2 make,yarn 2 type,iplik 2 uzunlugu[cm],iplik 2 beslenme orani[%],iplik 3 numarasi[x m/1gr],yarn 3 make,yarn 3 type,iplik 3 uzunlugu[cm],iplik 3 beslenme orani,machine caliber,machine speed[rpm],fabric property[roll?],total input yarn[kg],fabric weight[kg],total revolutions per roll ,fabric roll weight,roll width[cm],GSM[gr/m2]
1,29,32,22,single jersey,single,30/1,ARKAN,combed,27.5,100,,,,,,,,,,,single,26,tube with line,,,,,210,130.7
2,5,32,20,single jersey,fleece,30/1,KIPAS,combed,44,45,70,TEKSMAR,polyester,31.5,12,12/1,KUTUKUOGLU,open end-cotton-polyester,17,43,plain,22,tube with line,,,,,210,236.7
3,17,36,17,double jersey,ribbed,28/1,ARKAN,combed,53,100,,,,,,,,,,,ribbed,18,tube,,,,,110,148.3
4,17,36,17,double jersey,ribbed,20/1,LIBAS,combed,62,97,40,HUAFON,lycra,,3,,,,,,ribbed,18,tube with line,,,,,200,304.3
5,32,32,28,single jersey,single,30/1,ARKAN,combed,28,100,,,,,,,,,,,single,26,tube with line,,,,,210,122.7
6,30,32,22,single jersey,single,30/2,KIPAS,combed,36,100,,,,,,,,,,,single,26,open width,,,,,230,220.5
7,33,32,28,single jersey,single,40/1,NIPAS,combed,28.5,47.5,40/1,NIPAS,combed,29,47.5,20,TEKSMAR,lycra,,5,S/Z twist single,24,open width,,,,,180,150.4
8,6,32,20,single jersey,fleece,30/1,KIPAS,combed,44,45,70,TEKSMAR,polyester,29.5,12,12/1,KUTUKUOGLU,open end-cotton-polyester,17,43,plain,22,tube with line,444,426.25,,,204,253.1
9,18,36,18,double jersey,ribbed,30/2,KIPAS,combed,72,98,70,HUAFON,lycra,,2,,,,,,ribbed,17,tube with line,,,,,140,373.5
10,19,36,18,double jersey,ribbed,30/2+30/1,KIPAS,combed,27,96,70,HUAFON,lycra,,4,,,,,,interlock 2*1,17,tube,,,,,150,308.3
11,31,32,28,single jersey,single,30/1,ARKAN,combed,28,100,,,,,,,,,,,single,26,tube with line,,,,,210,127.7
12,34,32,28,single jersey,single,28/1,LIBAS,combed,27.5,100,,,,,,,,,,,single,26,tube with line,,,,,208,137.5
13,28,32,28,single jersey,single,30/1,ARKAN,combed,28,100,,,,,,,,,,,single,26,tube with line,,,,,216,127.7
14,7,32,20,single jersey,fleece,30/1,KIPAS,combed,44,33,30/1,KIPAS,combed,41,29,10/1,SIRIKCIOGLI,carded,16,38,plain,22,tube with line,,,,,225,245
15,7,32,20,single jersey,fleece,30/1,KIPAS,combed,44,33,30/1,KIPAS,combed,37.5,29,10/1,SIRIKCIOGLI,carded,17,38,diagonal,22,tube with line,,,,,230,283.7
16,6,32,20,single jersey,fleece,30/1,KIPAS,combed,44,45,70,TEKSMAR,polyester,31.5,12,12/1,KUTUKUOGLU,open end-cotton-polyester,17,43,plain,22,tube with line,,,,,220,237.3
17,17,36,17,double jersey,ribbed,30/1,LIBAS,combed,56,98,30,ANKAR,lycra,,2,,,,,,ribbed,18,tube with line,,,,,190,190.6
18,4,32,20,single jersey,fleece,20/2,NIPAS,combed,48,100,,,,,,,,,,,single,22,tube with line,101.3,96.45,,,231,280
19,30,32,22,single jersey,single,30/2,KIPAS,combed,38,100,,,,,,,,,,,single,26,open width,,,,,220,202.1
20,1,32,20,single jersey,fleece,30/1,KIPAS,combed,44.5,36,70,TEKSMAR,polyester,36,10,10/1,NIPAS,open end-cotton-polyester,22,54,plain,22,tube with line,,,,,218,271.9
